Validation_Set,Topics,Alpha,Beta,Coherence
100.0% Corpus,4,symmetric,0.01,0.33232037774659484
100.0% Corpus,4,symmetric,0.31,0.3262323275107425
100.0% Corpus,4,symmetric,0.61,0.3266965526842109
100.0% Corpus,4,symmetric,0.9099999999999999,0.3184875981057111
100.0% Corpus,4,symmetric,symmetric,0.32296354555532414
100.0% Corpus,4,asymmetric,0.01,0.3071779887663987
100.0% Corpus,4,asymmetric,0.31,0.3185602295041137
100.0% Corpus,4,asymmetric,0.61,0.31460031885514866
100.0% Corpus,4,asymmetric,0.9099999999999999,0.31109061898013846
100.0% Corpus,4,asymmetric,symmetric,0.3162528941947893
100.0% Corpus,5,0.01,0.01,0.36542018659906966
100.0% Corpus,5,0.01,0.31,0.3491801268710383
100.0% Corpus,5,0.01,0.61,0.3172368977551892
100.0% Corpus,5,0.01,0.9099999999999999,0.3159900824891849
100.0% Corpus,5,0.01,symmetric,0.35850248313695965
100.0% Corpus,5,0.31,0.01,0.3495903178685416
100.0% Corpus,5,0.31,0.31,0.36879821459532386
100.0% Corpus,5,0.31,0.61,0.33901905525197185
100.0% Corpus,5,0.31,0.9099999999999999,0.3348819602500715
100.0% Corpus,5,0.31,symmetric,0.365968837217867
100.0% Corpus,5,0.61,0.01,0.3328283046866428
100.0% Corpus,5,0.61,0.31,0.32706177637514905
100.0% Corpus,5,0.61,0.61,0.33278649270277977
100.0% Corpus,5,0.61,0.9099999999999999,0.35351965480588443
100.0% Corpus,5,0.61,symmetric,0.3418960709918893
100.0% Corpus,5,0.9099999999999999,0.01,0.3408758985233081
100.0% Corpus,5,0.9099999999999999,0.31,0.31915444375455493
100.0% Corpus,5,0.9099999999999999,0.61,0.3316724305958135
100.0% Corpus,5,0.9099999999999999,0.9099999999999999,0.31799930970858725
100.0% Corpus,5,0.9099999999999999,symmetric,0.3244007644242709
100.0% Corpus,5,symmetric,0.01,0.3271252707290168
100.0% Corpus,5,symmetric,0.31,0.32269363707165366
100.0% Corpus,5,symmetric,0.61,0.338924419042861
100.0% Corpus,5,symmetric,0.9099999999999999,0.3304205723400385
100.0% Corpus,5,symmetric,symmetric,0.35454109015503493
100.0% Corpus,5,asymmetric,0.01,0.32661715079684317
100.0% Corpus,5,asymmetric,0.31,0.3283940684928625
100.0% Corpus,5,asymmetric,0.61,0.33179793053711276
100.0% Corpus,5,asymmetric,0.9099999999999999,0.31943470266263885
100.0% Corpus,5,asymmetric,symmetric,0.318522823253159
100.0% Corpus,6,0.01,0.01,0.3599412538315985
100.0% Corpus,6,0.01,0.31,0.3375112978137666
100.0% Corpus,6,0.01,0.61,0.34579142048907424
100.0% Corpus,6,0.01,0.9099999999999999,0.3363596846533991
100.0% Corpus,6,0.01,symmetric,0.34881757120952606
100.0% Corpus,6,0.31,0.01,0.3778265088345263
100.0% Corpus,6,0.31,0.31,0.380579587658113
100.0% Corpus,6,0.31,0.61,0.38787605811372283
100.0% Corpus,6,0.31,0.9099999999999999,0.38599867678904604
100.0% Corpus,6,0.31,symmetric,0.4023975152547165
100.0% Corpus,6,0.61,0.01,0.37448065353929066
100.0% Corpus,6,0.61,0.31,0.34149655085391534
100.0% Corpus,6,0.61,0.61,0.36187072621010424
100.0% Corpus,6,0.61,0.9099999999999999,0.3564860489890948
100.0% Corpus,6,0.61,symmetric,0.3552690804212837
